web-scraper-order,web-scraper-start-url,Name,Stab Attack,Slash Attack,Crush Attack,Magic Attack,Ranged Attack,Stab Defence,Slash Defence,Crush Defence,Magic Defence,Ranged Defence,Stength,Ranged Stength,Magic Damage,Prayer,Wiki Link,Wiki Link-href
"1536190538-1566","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Slayer cape","0","0","0","0","0","+9","+9","+9","+9","+9","0","0","0","0 (+4 trimmed)","Slayer cape","http://oldschoolrunescape.wikia.com/wiki/Slayer_cape"
"1536190538-1522","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Guthix cape","0","0","0","10","0","1","1","2","10","0","0","0","0","0","Guthix cape","http://oldschoolrunescape.wikia.com/wiki/Guthix_cape"
"1536190538-1608","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Team-43 cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Team-43 cape","http://oldschoolrunescape.wikia.com/wiki/Team-43_cape"
"1536190538-1597","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Team-33 cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Team-33 cape","http://oldschoolrunescape.wikia.com/wiki/Team-33_cape"
"1536190538-1632","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Xeric's warrior","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Xeric's warrior","http://oldschoolrunescape.wikia.com/wiki/Xeric%27s_warrior"
"1536190538-1564","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Sinhaza shroud tier 4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Sinhaza shroud tier 4","http://oldschoolrunescape.wikia.com/wiki/Sinhaza_shroud_tier_4"
"1536190538-1545","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Music cape","0","0","0","0","0","+9","+9","+9","+9","+9","0","0","0","0 (+4 trimmed)","Music cape","http://oldschoolrunescape.wikia.com/wiki/Music_cape"
"1536190538-1468","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Ava's accumulator","0","0","0","0","+4","0","+1","0","+4","0","0","0","0","0","Ava's accumulator","http://oldschoolrunescape.wikia.com/wiki/Ava%27s_accumulator"
"1536190538-1461","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Ardougne cloak 3","5","0","0","5","0","5","0","0","5","0","0","0","0","5","Ardougne cloak 3","http://oldschoolrunescape.wikia.com/wiki/Ardougne_cloak_3"
"1536190538-1619","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Team-7 cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Team-7 cape","http://oldschoolrunescape.wikia.com/wiki/Team-7_cape"
"1536190538-1472","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Black cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Black cape","http://oldschoolrunescape.wikia.com/wiki/Black_cape"
"1536190538-1582","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Team-1 cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Team-1 cape","http://oldschoolrunescape.wikia.com/wiki/Team-1_cape"
"1536190538-1556","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Runecraft cape","0","0","0","0","0","+9","+9","+9","+9","+9","0","0","0","0 (+4 trimmed)","Runecraft cape","http://oldschoolrunescape.wikia.com/wiki/Runecraft_cape"
"1536190538-1555","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Red cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Red cape","http://oldschoolrunescape.wikia.com/wiki/Red_cape"
"1536190538-1464","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Armadyl cloak","0","0","0","1","0","3","3","3","3","3","0","0","0","3","Armadyl cloak","http://oldschoolrunescape.wikia.com/wiki/Armadyl_cloak"
"1536190538-1455","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Accumulator max cape","0","0","0","0","+4","0","+1","0","+4","0","0","0","0","0","Accumulator max cape","http://oldschoolrunescape.wikia.com/wiki/Accumulator_max_cape"
"1536190538-1614","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Team-49 cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Team-49 cape","http://oldschoolrunescape.wikia.com/wiki/Team-49_cape"
"1536190538-1486","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Deadman's cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Deadman's cape","http://oldschoolrunescape.wikia.com/wiki/Deadman%27s_cape"
"1536190538-1580","http://oldschoolrunescape.wikia.com/wiki/Cape_slot_table","Team-18 cape","0","0","0","0","0","0","+1","+1","0","+2","0","0","0","0","Team-18 cape","http://oldschoolrunescape.wikia.com/wiki/Team-18_cape"
