web-scraper-order,web-scraper-start-url,Name,Stab Attack,Slash Attack,Crush Attack,Magic Attack,Ranged Attack,Stab Defence,Slash Defence,Crush Defence,Magic Defence,Ranged Defence,Stength,Ranged Stength,Magic Damage,Prayer,Wiki Link,Wiki Link-href
"1536190265-669","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Adamant heraldic helm (Fairy)","0","0","0","-6","-2","+19","+21","+16","-1","+19","0","0","0","0","Adamant heraldic helm (Fairy)","http://oldschoolrunescape.wikia.com/wiki/Adamant_heraldic_helm_(Fairy)"
"1536190265-999","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Pirate bandana (Trouble Brewing)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Pirate bandana (Trouble Brewing)","http://oldschoolrunescape.wikia.com/wiki/Pirate_bandana_(Trouble_Brewing)"
"1536190265-749","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Blue dragon mask","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Blue dragon mask","http://oldschoolrunescape.wikia.com/wiki/Blue_dragon_mask"
"1536190265-1096","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Snakeskin bandana","0","0","0","-5","+4","+2","+4","+4","+2","+2","0","0","0","0","Snakeskin bandana","http://oldschoolrunescape.wikia.com/wiki/Snakeskin_bandana"
"1536190265-703","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Bandana eyepatch (brown)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Bandana eyepatch (brown)","http://oldschoolrunescape.wikia.com/wiki/Bandana_eyepatch_(brown)"
"1536190265-1111","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Steel heraldic helm (Guthix)","0","0","0","-6","-2","+9","+10","+7","-1","+9","0","0","0","0","Steel heraldic helm (Guthix)","http://oldschoolrunescape.wikia.com/wiki/Steel_heraldic_helm_(Guthix)"
"1536190265-742","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Black wizard hat (g)","0","0","0","+2","0","0","0","0","+2","0","0","0","0","0","Black wizard hat (g)","http://oldschoolrunescape.wikia.com/wiki/Black_wizard_hat_(g)"
"1536190265-856","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Gold helmet","0","0","0","0","0","0","+10","+20","0","+10","0","0","0","0","Gold helmet","http://oldschoolrunescape.wikia.com/wiki/Gold_helmet"
"1536190265-1112","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Steel heraldic helm (HAM)","0","0","0","-6","-2","+9","+10","+7","-1","+9","0","0","0","0","Steel heraldic helm (HAM)","http://oldschoolrunescape.wikia.com/wiki/Steel_heraldic_helm_(HAM)"
"1536190265-1124","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Tan cavalier","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Tan cavalier","http://oldschoolrunescape.wikia.com/wiki/Tan_cavalier"
"1536190265-853","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Goblin mask","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Goblin mask","http://oldschoolrunescape.wikia.com/wiki/Goblin_mask"
"1536190265-1031","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Red headband","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Red headband","http://oldschoolrunescape.wikia.com/wiki/Red_headband"
"1536190265-878","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Green tricorn hat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Green tricorn hat","http://oldschoolrunescape.wikia.com/wiki/Green_tricorn_hat"
"1536190265-954","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Mining helmet","0","0","0","-3","-1","+4","+5","+3","-1","+4","0","0","0","0","Mining helmet","http://oldschoolrunescape.wikia.com/wiki/Mining_helmet"
"1536190265-1091","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Slayer helmet","0","0","0","-6","-2","+30","+32","+27","-1","+30","0","0","0","0","Slayer helmet","http://oldschoolrunescape.wikia.com/wiki/Slayer_helmet"
"1536190265-1008","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Prayer hood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Prayer hood","http://oldschoolrunescape.wikia.com/wiki/Prayer_hood"
"1536190265-890","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Hard hat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Hard hat","http://oldschoolrunescape.wikia.com/wiki/Hard_hat"
"1536190265-948","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Max hood","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Max hood","http://oldschoolrunescape.wikia.com/wiki/Max_hood"
"1536190265-1009","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Progress hat","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Progress hat","http://oldschoolrunescape.wikia.com/wiki/Progress_hat"
"1536190265-831","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Farseer helm","-5","-5","-5","+6","-5","+8","+10","+12","+6","0","0","0","0","0","Farseer helm","http://oldschoolrunescape.wikia.com/wiki/Farseer_helm"
"1536190265-870","http://oldschoolrunescape.wikia.com/wiki/Head_slot_table","Green boater","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Green boater","http://oldschoolrunescape.wikia.com/wiki/Green_boater"
