web-scraper-order,web-scraper-start-url,Name,Stab Attack,Slash Attack,Crush Attack,Magic Attack,Ranged Attack,Stab Defence,Slash Defence,Crush Defence,Magic Defence,Ranged Defence,Stength,Ranged Stength,Magic Damage,Prayer,Wiki Link,Wiki Link-href
"1536190620-1697","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Bronze plateskirt (t)","0","0","0","-21","-7","+8","+7","+6","-4","+7","0","0","0","0","Bronze plateskirt (t)","http://oldschoolrunescape.wikia.com/wiki/Bronze_plateskirt_(t)"
"1536190620-1826","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Polar camo legs","0","0","0","0","-7","+11","+10","+10","0","+10","0","0","0","0","Polar camo legs","http://oldschoolrunescape.wikia.com/wiki/Polar_camo_legs"
"1536190620-1836","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Purple robe bottoms","0","0","0","0","0","0","+2","+2","0","0","0","0","0","0","Purple robe bottoms","http://oldschoolrunescape.wikia.com/wiki/Purple_robe_bottoms"
"1536190620-1847","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Robe bottom of darkness","0","0","0","+15","0","0","0","0","+15","0","0","0","0","0","Robe bottom of darkness","http://oldschoolrunescape.wikia.com/wiki/Robe_bottom_of_darkness"
"1536190620-1871","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Shorts (brown)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Shorts (brown)","http://oldschoolrunescape.wikia.com/wiki/Shorts_(brown)"
"1536190620-1853","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Rune platelegs (g)","0","0","0","-21","-7","+51","+49","+47","-4","+49","0","0","0","0","Rune platelegs (g)","http://oldschoolrunescape.wikia.com/wiki/Rune_platelegs_(g)"
"1536190620-1702","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Chicken legs","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Chicken legs","http://oldschoolrunescape.wikia.com/wiki/Chicken_legs"
"1536190620-1913","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","White plateskirt","0","0","0","-21","-7","+21","+20","+19","-4","+20","0","0","0","+1","White plateskirt","http://oldschoolrunescape.wikia.com/wiki/White_plateskirt"
"1536190620-1781","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Kyatt legs","0","0","0","0","-7","+11","+10","+10","0","+10","0","0","0","0","Kyatt legs","http://oldschoolrunescape.wikia.com/wiki/Kyatt_legs"
"1536190620-1770","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Iron platelegs","0","0","0","-21","-7","+11","+10","+10","-4","+10","0","0","0","0","Iron platelegs","http://oldschoolrunescape.wikia.com/wiki/Iron_platelegs"
"1536190620-1784","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Lederhosen shorts","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Lederhosen shorts","http://oldschoolrunescape.wikia.com/wiki/Lederhosen_shorts"
"1536190620-1699","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Builder's trousers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Builder's trousers","http://oldschoolrunescape.wikia.com/wiki/Builder%27s_trousers"
"1536190620-1808","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Mourner trousers","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mourner trousers","http://oldschoolrunescape.wikia.com/wiki/Mourner_trousers"
"1536190620-1735","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Gilded platelegs","+0","+0","+0","-21","-7","+51","+49","+47","-4","+49","+0","0","0","+0","Gilded platelegs","http://oldschoolrunescape.wikia.com/wiki/Gilded_platelegs"
"1536190620-1785","http://oldschoolrunescape.wikia.com/wiki/Legs_slot_table","Light infinity bottoms","0","0","0","+17","0","0","0","0","+17","0","0","0","0","0","Light infinity bottoms","http://oldschoolrunescape.wikia.com/wiki/Light_infinity_bottoms"
