web-scraper-order,web-scraper-start-url,Name,Stab Attack,Slash Attack,Crush Attack,Magic Attack,Ranged Attack,Stab Defence,Slash Defence,Crush Defence,Magic Defence,Ranged Defence,Stength,Ranged Stength,Magic Damage,Prayer,Wiki Link,Wiki Link-href
"1536190690-1944","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Cow shoes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Cow shoes","http://oldschoolrunescape.wikia.com/wiki/Cow_shoes"
"1536190690-2000","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Primordial boots","+2","+2","+2","-4","-1","+22","+22","+22","0","0","+5","0","0","0","Primordial boots","http://oldschoolrunescape.wikia.com/wiki/Primordial_boots"
"1536190690-1930","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Armadyl d'hide boots","0","0","0","-10","+7","+4","+4","+4","+4","+4","0","0","0","+1","Armadyl d'hide boots","http://oldschoolrunescape.wikia.com/wiki/Armadyl_d%27hide_boots"
"1536190690-2030","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Turquoise boots","0","0","0","0","0","0","+1","+1","0","0","0","0","0","0","Turquoise boots","http://oldschoolrunescape.wikia.com/wiki/Turquoise_boots"
"1536190690-1947","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Desert boots","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Desert boots","http://oldschoolrunescape.wikia.com/wiki/Desert_boots"
"1536190690-1978","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Guardian boots","0","0","0","-3","-1","+32","+32","+32","-3","+24","+3","0","0","+2","Guardian boots","http://oldschoolrunescape.wikia.com/wiki/Guardian_boots"
"1536190690-1980","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Ham boots","0","0","0","0","0","0","+1","+1","0","0","0","0","0","0","Ham boots","http://oldschoolrunescape.wikia.com/wiki/Ham_boots"
"1536190690-1976","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Green boots","0","0","0","0","0","0","+1","+1","0","0","0","0","0","0","Green boots","http://oldschoolrunescape.wikia.com/wiki/Green_boots"
"1536190690-2024","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Snow imp costume feet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Snow imp costume feet","http://oldschoolrunescape.wikia.com/wiki/Snow_imp_costume_feet"
"1536190690-2041","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Zombie boots","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zombie boots","http://oldschoolrunescape.wikia.com/wiki/Zombie_boots"
"1536190690-1964","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Ghostly boots","0","0","0","+2","0","0","0","0","+2","0","0","0","0","0","Ghostly boots","http://oldschoolrunescape.wikia.com/wiki/Ghostly_boots"
"1536190690-1986","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Light tuxedo shoes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Light tuxedo shoes","http://oldschoolrunescape.wikia.com/wiki/Light_tuxedo_shoes"
"1536190690-1993","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Mummy's feet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Mummy's feet","http://oldschoolrunescape.wikia.com/wiki/Mummy%27s_feet"
"1536190690-1977","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Grey boots","0","0","0","0","0","0","+1","+1","0","0","0","0","0","0","Grey boots","http://oldschoolrunescape.wikia.com/wiki/Grey_boots"
"1536190690-1973","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Graceful boots","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Graceful boots","http://oldschoolrunescape.wikia.com/wiki/Graceful_boots"
"1536190690-1937","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Bronze boots","0","0","0","-3","-1","+1","+2","+3","0","0","0","0","0","0","Bronze boots","http://oldschoolrunescape.wikia.com/wiki/Bronze_boots"
"1536190690-1953","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Farmer's boots","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Farmer's boots","http://oldschoolrunescape.wikia.com/wiki/Farmer%27s_boots"
"1536190690-2002","http://oldschoolrunescape.wikia.com/wiki/Feet_slot_table","Purple boots","0","0","0","0","0","0","+1","+1","0","0","0","0","0","0","Purple boots","http://oldschoolrunescape.wikia.com/wiki/Purple_boots"
