web-scraper-order,web-scraper-start-url,Name,Stab Attack,Slash Attack,Crush Attack,Magic Attack,Ranged Attack,Stab Defence,Slash Defence,Crush Defence,Magic Defence,Ranged Defence,Stength,Ranged Stength,Magic Damage,Prayer,Wiki Link,Wiki Link-href
"1536190098-623","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Salve amulet(i)","0","0","0","0","0","+3","+3","+3","0","0","0","0","0","+3","Salve amulet(i)","http://oldschoolrunescape.wikia.com/wiki/Salve_amulet(i)"
"1536190098-570","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Desert amulet 1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Desert amulet 1","http://oldschoolrunescape.wikia.com/wiki/Desert_amulet_1"
"1536190098-558","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Berserker necklace","-10","-10","-10","+0","+0","-20","-20","-20","-20","-20","+7","0","0","+3","Berserker necklace","http://oldschoolrunescape.wikia.com/wiki/Berserker_necklace"
"1536190098-576","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Digsite pendant","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Digsite pendant","http://oldschoolrunescape.wikia.com/wiki/Digsite_pendant"
"1536190098-532","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","10th squad sigil","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10th squad sigil","http://oldschoolrunescape.wikia.com/wiki/10th_squad_sigil"
"1536190098-648","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Zenyte amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Zenyte amulet","http://oldschoolrunescape.wikia.com/wiki/Zenyte_amulet"
"1536190098-536","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of bounty","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amulet of bounty","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_bounty"
"1536190098-551","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of torture (or)","+15","+15","+15","0","0","0","0","0","0","0","+10","0","0","+2","Amulet of torture (or)","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_torture_(or)"
"1536190098-587","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Glarial's amulet","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Glarial's amulet","http://oldschoolrunescape.wikia.com/wiki/Glarial%27s_amulet"
"1536190098-555","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Armadyl stole","0","0","0","+2","0","0","0","0","+2","0","0","0","0","+10","Armadyl stole","http://oldschoolrunescape.wikia.com/wiki/Armadyl_stole"
"1536190098-537","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Amulet of chemistry","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Amulet of chemistry","http://oldschoolrunescape.wikia.com/wiki/Amulet_of_chemistry"
"1536190098-575","http://oldschoolrunescape.wikia.com/wiki/Neck_slot_table","Diamond necklace","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Diamond necklace","http://oldschoolrunescape.wikia.com/wiki/Diamond_necklace"
